#cm^-1	mean CaF2 5%
1521	6.236764747882264e-5
1522	5.69852265471127e-5
1523	6.153096983325669e-5
1524	5.827608983963729e-5
1525	6.051035597920419e-5
1526	6.787654056097371e-5
1527	6.647160334978258e-5
1528	6.435687319026329e-5
1529	6.790634870412762e-5
1530	6.411009162547998e-5
1531	5.633796972688289e-5
1532	6.531128456117588e-5
1533	6.231053994270043e-5
1534	7.676751338294711e-5
1535	6.873325328342626e-5
1536	5.764221350545995e-5
1537	6.39143414446153e-5
1538	7.596634532092138e-5
1539	6.354487923090346e-5
1540	8.020445893635044e-5
1541	9.845179811236448e-5
1542	8.709940375410956e-5
1543	9.849704656517136e-5
1544	0.0001191353745525702
1545	0.0001258019998203962
1546	0.0001456283993320539
1547	0.0001275650487514214
1548	0.0001294241752475501
1549	0.0001504677915363572
1550	0.0001721984313917348
1551	0.0001487006404204294
1552	0.000140983187884558
1553	0.0001800763697247018
1554	0.0002094977273372934
1555	0.0001471274212235585
1556	0.0001267454208573325
1557	8.792017397354347e-5
1558	0.0001132891484303402
1559	0.000154283907613717
1560	0.0001600009243702518
1561	0.000160359292931389
1562	0.0001305364989093505
1563	0.0001479935730458238
1564	0.000152419692312833
1565	0.0001792876457329838
1566	0.0001439784944523126
1567	0.0001162839253083805
1568	0.0001350566482869909
1569	0.0001406873881933278
1570	0.0001401320405420846
1571	0.0001507825596490874
1572	0.0001705175280221738
1573	0.0001047736615873873
1574	0.0001104028910049239
1575	0.0001253355323569851
1576	0.0001330234343186021
1577	0.0001346452481811868
1578	0.0001346554141491651
1579	0.0001346187767921947
1580	0.0001386116884532384
1581	0.0001392155900248325
1582	0.0001379238688969054
1583	0.0001440127525711435
1584	0.0001376206724671647
1585	0.0001367179516819305
1586	0.0001400618290062993
1587	0.0001420153523213232
1588	0.0001377845765091477
1589	0.000138328707544133
1590	0.000147433606616687
1591	0.0001404027265380138
1592	0.0001381867739837617
1593	0.0001455596880987284
1594	0.0001447991919121705
1595	0.000138857429556083
1596	0.000142744925688021
1597	0.0001395337050780654
1598	0.0001383154769428075
1599	0.0001424988979124462
1600	0.0001331757172010839
1601	0.0001348983001662419
1602	0.00014530865882989
1603	0.0001517060838523322
1604	0.0001437367958715184
1605	0.0001432700737495906
1606	0.0001355456493911333
1607	0.0001385772760841064
1608	0.0001370504891383463
1609	0.0001452676442568192
1610	0.0001398700303980149
1611	0.0001389076365740038
1612	0.0001589008243172428
1613	0.0001632030587643386
1614	9.141872142208744e-5
1615	0.0001227533022756687
1616	0.0001303881668718534
1617	0.0001361536807962692
1618	0.0001308205595705657
1619	0.0001468852147809232
1620	0.0001350593709503301
1621	0.0001190870418213308
1622	0.00012592789134942
1623	0.0001367285221931525
1624	0.0001586364131071604
1625	0.0001249346023541877
1626	0.000120705913286656
1627	0.0001304499557591043
1628	0.000125053376541473
1629	0.0001245474893948996
1630	0.0001221679587615654
1631	0.0001335755936452187
1632	0.0001306113234022632
1633	8.491353655699644e-5
1634	0.0001052920561050997
1635	0.0001147800154285506
1636	0.0001146906914073044
1637	0.0001336461806204172
1638	0.0001160085885203446
1639	0.0001274901951546779
1640	0.0001146544644143433
1641	0.0001406456693075596
1642	0.0001570590538904072
1643	0.0001566950537380761
1644	0.0001403773116180674
1645	0.0001090799807570876
1646	0.0001252247355296277
1647	0.0001592405984411016
1648	0.0001647525350563226
1649	0.0001548364583868533
1650	0.0001052633000654168
1651	0.0001021197822410612
1652	0.0001287134509766475
1653	0.000157152519386727
1654	0.0001596013258676976
1655	0.0001701586021226832
1656	0.0001639302732655779
1657	0.000153618877811823
1658	0.00014611778606195
1659	0.0001446822017896918
